"topic_id","current_stage","overall_status","research_approval","topic_approval","deep_research_approval","content_approval","seo_approval","publication_approval","last_updated","notes"
"RESEARCH-BATCH-2025-10-08","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-08T21:34:55.013Z","Generated 9 content gaps using real Google data"
"TOPICS-BATCH-2025-10-08","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-08T21:35:17.028Z","Generated 18 strategic topics from 26 approved gaps"
"TOPIC-001","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:31:00.404Z","Published to WordPress/Sanity."
"TOPIC-002","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T14:39:06.147Z","Published to WordPress/Sanity."
"TOPIC-003","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:31:00.385Z","Published to WordPress/Sanity."
"TOPIC-010","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:31:00.390Z","Published to WordPress/Sanity."
"TOPIC-011","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:31:00.395Z","Published to WordPress/Sanity."
"TOPIC-012","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-21T13:31:00.399Z","Published to WordPress/Sanity."
"TOPIC-013","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T15:07:34.147Z","Published to WordPress/Sanity."
"TOPIC-014","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T15:07:34.147Z","Published to WordPress/Sanity."
"TOPIC-015","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T15:07:34.148Z","Published to WordPress/Sanity."
"TOPIC-017","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.595Z","Published to WordPress/Sanity."
"TOPIC-018","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.597Z","Published to WordPress/Sanity."
"TOPIC-019","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.598Z","Published to WordPress/Sanity."
"TOPIC-020","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.599Z","Published to WordPress/Sanity."
"TOPIC-021","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.602Z","Published to WordPress/Sanity."
"TOPIC-022","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.603Z","Published to WordPress/Sanity."
"TOPIC-023","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.605Z","Published to WordPress/Sanity."
"TOPIC-024","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.607Z","Published to WordPress/Sanity."
"TOPIC-025","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.608Z","Published to WordPress/Sanity."
"TOPIC-026","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.611Z","Published to WordPress/Sanity."
"TOPIC-027","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.613Z","Published to WordPress/Sanity."
"TOPIC-028","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.615Z","Published to WordPress/Sanity."
"TOPIC-029","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.616Z","Published to WordPress/Sanity."
"TOPIC-030","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.618Z","Published to WordPress/Sanity."
"TOPIC-031","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.621Z","Published to WordPress/Sanity."
"TOPIC-032","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.623Z","Published to WordPress/Sanity."
"TOPIC-033","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-08T21:55:10.625Z","Published to WordPress/Sanity."
"RESEARCH-BATCH-2025-10-09","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-09T18:39:01.519Z","Generated 9 content gaps using real Google data"
"TOPICS-BATCH-2025-10-09","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-09T18:40:20.508Z","Generated 4 strategic topics from 26 approved gaps"
"RESEARCH-BATCH-2025-10-12","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T18:23:32.311Z","Generated 3 content gaps using real Google data"
"TOPICS-BATCH-2025-10-12","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T18:41:44.619Z","Generated 50 strategic topics from 77 approved gaps"
"TOPIC-088","SEO Optimization","SEO Metadata Pending Review","Not Started","Not Started","Not Started","Pending","Pending","Not Started","2025-10-12T19:29:02.079Z","Review SEO metadata in created-content.csv."
"TOPIC-089","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.545Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-090","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.546Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-093","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.548Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-095","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.549Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-097","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.550Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-098","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.552Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-099","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.553Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-102","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.555Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-109","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.558Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-110","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.559Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-111","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.561Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-113","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.563Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-114","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.565Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-115","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.567Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-117","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.569Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-118","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:02:37.571Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-119","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.255Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-120","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.257Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-121","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.259Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-123","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.261Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-124","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.263Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-125","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.265Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-127","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.266Z","Deep research auto-approved. Content creation unlocked."
"TOPIC-129","Deep Topic Research","Deep Research Approved","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T16:28:00.268Z","Deep research auto-approved. Content creation unlocked."
